	filter	window	alpha	lag	alphaLP	alphaHP	no mismatchess	Key Lenght	Key Sattus	Key bit Mismatches	Key bit Matches	key bit mismatches %	Seq bit Mismatches	Seq bit Matches	Seq bit mismatches %
384	bandpassLPHP	    -    	    -    	    -    	0.1	0.4	6	192	False	6	186	0.0312	7983	32017	0.1996
385	bandpassLPHP	    -    	    -    	    -    	0.1	0.5	6	187	False	6	181	0.0321	7740	32260	0.1935
386	bandpassLPHP	    -    	    -    	    -    	0.1	0.6000000000000001	3	188	False	3	185	0.016	7312	32688	0.1828
387	bandpassLPHP	    -    	    -    	    -    	0.1	0.7000000000000001	1	188	False	1	187	0.0053	6772	33228	0.1693
388	bandpassLPHP	    -    	    -    	    -    	0.1	0.8	1	196	False	1	195	0.0051	6245	33755	0.1561
389	bandpassLPHP	    -    	    -    	    -    	0.1	0.9	2	206	False	2	204	0.0097	5632	34368	0.1408
390	bandpassLPHP	    -    	    -    	    -    	0.1	1.0	1	227	False	1	226	0.0044	4817	35183	0.1204
391	bandpassLPHP	    -    	    -    	    -    	0.2	0.1	5	229	False	5	224	0.0218	6135	33865	0.1534
392	bandpassLPHP	    -    	    -    	    -    	0.2	0.2	3	219	False	3	216	0.0137	6695	33305	0.1674
393	bandpassLPHP	    -    	    -    	    -    	0.2	0.30000000000000004	14	204	False	14	190	0.0686	8544	31456	0.2136
394	bandpassLPHP	    -    	    -    	    -    	0.2	0.4	8	195	False	8	187	0.041	8320	31680	0.208
395	bandpassLPHP	    -    	    -    	    -    	0.2	0.5	7	189	False	7	182	0.037	7995	32005	0.1999
396	bandpassLPHP	    -    	    -    	    -    	0.2	0.6000000000000001	4	187	False	4	183	0.0214	7670	32330	0.1918
397	bandpassLPHP	    -    	    -    	    -    	0.2	0.7000000000000001	4	199	False	4	195	0.0201	7243	32757	0.1811
398	bandpassLPHP	    -    	    -    	    -    	0.2	0.8	2	188	False	2	186	0.0106	6750	33250	0.1688
399	bandpassLPHP	    -    	    -    	    -    	0.2	0.9	1	196	False	1	195	0.0051	6245	33755	0.1561
400	bandpassLPHP	    -    	    -    	    -    	0.2	1.0	6	218	False	6	212	0.0275	5648	34352	0.1412
401	bandpassLPHP	    -    	    -    	    -    	0.30000000000000004	0.1	3	220	False	3	217	0.0136	6278	33722	0.157
