,m (length of),alpha,n (block size),tau (decision threshold),No_mism (expected number of mismatches),L  (expected length of final key),expected number of mismatches (%)
133,50,0.15,15,2,0,30.2113,0
134,50,0.15,15,3,0,41.1328,0
135,50,0.15,15,4,0,46.9148,0
136,50,0.15,15,5,0,49.1599,0
137,50,0.15,15,6,0.0001,49.8238,0.0002
138,50,0.15,15,7,0.0017,50,0.0034
139,50,0.15,16,1,0,14.1951,0
140,50,0.15,16,2,0,28.069,0
141,50,0.15,16,3,0,39.4945,0
142,50,0.15,16,4,0,46.0474,0
143,50,0.15,16,5,0,48.8229,0
144,50,0.15,16,6,0,49.7216,0
145,50,0.15,16,7,0.0003,49.9551,0.0006
146,50,0.15,17,1,0,12.6227,0
147,50,0.15,17,2,0,25.9879,0
148,50,0.15,17,3,0,37.7807,0
149,50,0.15,17,4,0,45.0645,0
150,50,0.15,17,5,0,48.4065,0
151,50,0.15,17,6,0,49.5862,0
152,50,0.15,17,7,0,49.9151,0
153,50,0.15,17,8,0.0006,50,0.0012
154,50,0.15,18,1,0,11.2026,0
155,50,0.15,18,2,0,23.9831,0
156,50,0.15,18,3,0,36.0118,0
157,50,0.15,18,4,0,43.9719,0
158,50,0.15,18,5,0,47.9052,0
159,50,0.15,18,6,0,49.4091,0
160,50,0.15,18,7,0,49.8645,0
161,50,0.15,18,8,0.0001,49.9784,0.0002
162,50,0.15,19,1,0,9.9246,0
163,50,0.15,19,2,0,22.066,0
164,50,0.15,19,3,0,34.2075,0
165,50,0.15,19,4,0,42.7779,0
166,50,0.15,19,5,0,47.3152,0
167,50,0.15,19,6,0,49.1835,0
168,50,0.15,19,7,0,49.7959,0
169,50,0.15,19,8,0,49.9589,0
170,50,0.15,19,9,0.0002,50,0.0004
171,50,0.15,20,1,0,8.7779,0
172,50,0.15,20,2,0,20.2448,0
173,50,0.15,20,3,0,32.3863,0
174,50,0.15,20,4,0,41.4923,0
175,50,0.15,20,5,0,46.6346,0
176,50,0.15,20,6,0,48.9032,0
177,50,0.15,20,7,0,49.704,0
178,50,0.15,20,8,0,49.9338,0
179,50,0.15,20,9,0,49.9895,0
180,50,0.2,3,1,1.4,50,2.8
181,50,0.2,4,1,0.185,42.32,0.43715
182,50,0.2,5,1,0.023,37.2,0.06183
183,50,0.2,5,2,0.428,50,0.856
184,50,0.2,6,1,0.0028,32.848,0.00852
185,50,0.2,6,2,0.0635,45.904,0.13833
186,50,0.2,7,1,0.0003,28.8544,0.00104
187,50,0.2,7,2,0.0088,42.832,0.02055
188,50,0.2,7,3,0.1364,50,0.2728
189,50,0.2,8,1,0,25.17,0
190,50,0.2,8,2,0.0012,39.9075,0.00301
191,50,0.2,8,3,0.0216,47.7062,0.04528
192,50,0.2,9,1,0,21.8113,0
193,50,0.2,9,2,0.0001,36.9256,0.00027
194,50,0.2,9,3,0.0032,45.8712,0.00698
195,50,0.2,9,4,0.0445,50,0.089
196,50,0.2,10,1,0,18.7907,0
197,50,0.2,10,2,0,33.8939,0
198,50,0.2,10,3,0.0005,43.9995,0.00114
199,50,0.2,10,4,0.0073,48.6788,0.015
200,50,0.2,11,1,0,16.1062,0
201,50,0.2,11,2,0,30.871,0
202,50,0.2,11,3,0.0001,41.9548,0.00024
203,50,0.2,11,4,0.0011,47.5778,0.00231
204,50,0.2,11,5,0.0148,50,0.0296
205,50,0.2,12,1,0,13.7439,0
206,50,0.2,12,2,0,27.9175,0
207,50,0.2,12,3,0,39.7316,0
208,50,0.2,12,4,0.0002,46.4013,0.00043
209,50,0.2,12,5,0.0025,49.2249,0.00508
210,50,0.2,13,1,0,11.6823,0
211,50,0.2,13,2,0,25.0827,0
212,50,0.2,13,3,0,37.367,0
213,50,0.2,13,4,0,45.0518,0
214,50,0.2,13,5,0.0004,48.5605,0.00082
215,50,0.2,13,6,0.005,50,0.01
216,50,0.2,14,1,0,9.8956,0
217,50,0.2,14,2,0,22.4026,0
218,50,0.2,14,3,0,34.9097,0
219,50,0.2,14,4,0,43.5103,0
220,50,0.2,14,5,0.0001,47.8264,0.00021
221,50,0.2,14,6,0.0009,49.5394,0.00182
222,50,0.2,15,1,0,8.3563,0
223,50,0.2,15,2,0,19.9012,0
224,50,0.2,15,3,0,32.4082,0
225,50,0.2,15,4,0,41.7889,0
226,50,0.2,15,5,0,46.9531,0
227,50,0.2,15,6,0.0001,49.1363,0.0002
228,50,0.2,15,7,0.0017,50,0.0034
229,50,0.2,16,1,0,7.0369,0
230,50,0.2,16,2,0,17.5922,0
231,50,0.2,16,3,0,29.9067,0
232,50,0.2,16,4,0,39.9124,0
233,50,0.2,16,5,0,45.9172,0
234,50,0.2,16,6,0,48.6795,0
235,50,0.2,16,7,0.0003,49.7236,0.0006
236,50,0.2,17,1,0,5.911,0
237,50,0.2,17,2,0,15.4811,0
238,50,0.2,17,3,0,27.4438,0
239,50,0.2,17,4,0,37.9112,0
240,50,0.2,17,5,0,44.7154,0
241,50,0.2,17,6,0,48.1206,0
242,50,0.2,17,7,0,49.4779,0
243,50,0.2,17,8,0.0006,50,0.0012
244,50,0.2,18,1,0,4.954,0
245,50,0.2,18,2,0,13.5671,0
246,50,0.2,18,3,0,25.0513,0
247,50,0.2,18,4,0,35.8177,0
248,50,0.2,18,5,0,43.3543,0
249,50,0.2,18,6,0,47.4376,0
250,50,0.2,18,7,0,49.1939,0
251,50,0.2,18,8,0.0001,49.8329,0.0002
252,50,0.2,19,1,0,4.1433,0
253,50,0.2,19,2,0,11.8445,0
254,50,0.2,19,3,0,22.7544,0
255,50,0.2,19,4,0,33.6644,0
256,50,0.2,19,5,0,41.8469,0
257,50,0.2,19,6,0,46.6203,0
258,50,0.2,19,7,0,48.8386,0
259,50,0.2,19,8,0,49.6826,0
260,50,0.2,19,9,0.0002,50,0.0004
261,50,0.2,20,1,0,3.4588,0
262,50,0.2,20,2,0,10.3042,0
263,50,0.2,20,3,0,20.5724,0
264,50,0.2,20,4,0,31.4824,0
265,50,0.2,20,5,0,40.2104,0
266,50,0.2,20,6,0,45.6655,0
267,50,0.2,20,7,0,48.3936,0
